time	magn	lat	long	altGPS	sat	fix	alt	vsi	pitch	roll
07:12:49.543913	1015	59.864632	30.342014	6.97	9	3	12.64	-0.04	0.00	-1.00
07:12:49.544989	1014	59.864632	30.342014	6.97	9	3	12.64	-0.04	0.00	-1.00
07:12:49.560372	1014	59.864632	30.342014	6.97	9	3	12.66	-0.04	0.00	-1.00
07:12:49.576625	1014	59.864632	30.342014	6.97	9	3	12.69	-0.04	0.00	-1.00
07:12:49.577494	1014	59.864632	30.342014	6.97	9	3	12.69	-0.04	0.00	-1.00
07:12:49.591732	1014	59.864632	30.342014	6.97	9	3	12.67	-0.03	0.00	-1.00
07:12:49.592608	1014	59.864632	30.342014	6.97	9	3	12.67	-0.03	0.00	-1.00
07:12:49.608065	1014	59.864632	30.342015	6.99	9	3	12.50	-0.04	0.00	-1.00
07:12:49.624462	1014	59.864632	30.342015	6.99	9	3	12.50	-0.04	0.00	-1.00
07:12:49.625079	1014	59.864632	30.342015	6.99	9	3	12.50	-0.04	0.00	-1.00
07:12:49.639561	1011	59.864632	30.342015	6.99	9	3	12.52	-0.04	0.00	-1.00
07:12:49.656002	1013	59.864632	30.342015	6.99	9	3	12.58	-0.04	0.00	-1.00
07:12:49.656817	1011	59.864632	30.342015	6.99	9	3	12.58	-0.04	0.00	-1.00
07:12:49.672382	1013	59.864632	30.342015	6.99	9	3	12.62	-0.04	0.00	-1.00
07:12:49.673103	1011	59.864632	30.342015	6.99	9	3	12.62	-0.04	0.00	-1.00
07:12:49.688699	1013	59.864632	30.342015	6.99	9	3	12.69	-0.03	0.00	-1.00
07:12:49.703813	1011	59.864632	30.342015	6.99	9	3	12.62	-0.03	0.00	-1.00
07:12:49.704642	1013	59.864632	30.342015	6.99	9	3	12.62	-0.03	0.00	-1.00
07:12:49.720201	1010	59.864632	30.342015	6.99	9	3	12.60	-0.03	0.00	-1.00
07:12:49.720983	1012	59.864632	30.342015	6.99	9	3	12.60	-0.03	0.00	-1.00
07:12:49.736591	1008	59.864632	30.342015	6.99	9	3	12.51	-0.03	0.00	-1.00
07:12:49.751722	1011	59.864632	30.342015	6.99	9	3	12.51	-0.03	0.00	-1.00
07:12:49.752580	1006	59.864632	30.342015	6.99	9	3	12.51	-0.03	0.00	-1.00
07:12:49.768058	1010	59.864632	30.342015	6.99	9	3	12.55	-0.03	0.00	-1.00
07:12:49.768717	1005	59.864632	30.342015	6.99	9	3	12.55	-0.03	0.00	-1.00
07:12:49.784437	1009	59.864632	30.342015	6.99	9	3	12.60	-0.03	0.00	-1.00
07:12:49.799560	1005	59.864632	30.342015	6.99	9	3	12.60	-0.03	0.00	-1.00
07:12:49.800196	1009	59.864632	30.342015	6.99	9	3	12.60	-0.03	0.00	-1.00
07:12:49.816018	1005	59.864632	30.342015	6.99	9	3	12.60	-0.03	0.00	-1.00
07:12:49.832368	1008	59.864632	30.342015	6.99	9	3	12.70	-0.03	0.00	-1.00
07:12:49.833170	1004	59.864632	30.342015	6.99	9	3	12.70	-0.03	0.00	-1.00
07:12:49.847468	1007	59.864632	30.342015	6.99	9	3	12.70	-0.03	0.00	-1.00
07:12:49.848109	1004	59.864632	30.342015	6.99	9	3	12.70	-0.03	0.00	-1.00
07:12:49.863805	1008	59.864631	30.342014	6.84	9	3	12.73	-0.01	0.00	-1.00
07:12:49.880191	1004	59.864631	30.342014	6.84	9	3	12.66	-0.01	0.00	-1.00
07:12:49.880953	1007	59.864631	30.342014	6.84	9	3	12.66	-0.01	0.00	-1.00
07:12:49.896601	1004	59.864631	30.342014	6.84	9	3	12.71	-0.01	0.00	-1.00
07:12:49.897334	1007	59.864631	30.342014	6.84	9	3	12.71	-0.01	0.00	-1.00
07:12:49.911723	1004	59.864631	30.342014	6.84	9	3	12.74	-0.01	0.00	-1.00
07:12:49.928067	1006	59.864631	30.342014	6.84	9	3	12.82	-0.01	0.00	-1.00
